name|type|description|prerequisites|benefits|Metaconstruction|Convergence|Psionic|Surge|Technique|Cerulean_Seas|Item_Creation|Conduit|General|Gather_Power|Metapsionic|Kineticist|Akashic|Confluence|teamwork|Shifting|Combat|Metamagic|Heritage|Style|Mineralite_Racial|Projected_Form
Aberrant Form (Akashic)|Akashic|The daeva you have formed a bond with is a bit different from its kin. Special This feat can be selected multiple times.|veilweaving modifier +3, passion class feature.|select one veil granted by your passion, and one veil from the daevic veilweaving list. you permanently remove the selected passion veil from your list of passion veils and replace it with the selected veil from the daevic veilweaving list.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Adorn Akashic Treasure|Akashic|You have gained insight into some of the treasures stored within the akashic record and have learned to adorn your veils with them. Whenever you shape your veils for the day, you may select one of your chosen treasures. You may adorn one of your veils with the selected treasure. This otherwise follows the rules for adorning akashic treasures. If you have the ability to adorn any akashic treasure from one of your class features, you instead increase the number of veils you may adorn with treasures each day by one. Special You may select this feat multiple times, choosing additional akashic treasures and gaining the ability to adorn one additional veil with a treasure each time it is selected.|ability to shape at least 1 veil|when you gain this feat, choose a number of akashic treasures equal to your 1 + veilweaving modifier (minimum 2). if a treasure has a selectable component (such as choosing an elemental type for the elementium etchings treasure), you must choose the selectable components when you choose the treasure. you may choose multiple of these treasures if you wish to gain multiple selection options, but each counts as a unique chosen treasure for the purposes of this feat. if you later gain a permanent increase to your veilweaving modifier, you gain knowledge of additional treasures. if that permanent increase is lost and later regained, you lose those treasures while the increase is lost, and then regain those same chosen treasures when the increase is regained.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Adorned Fists|Akashic|Your fists are adorned with the powers of your treasures that would normally only affect your weapons. You gain 1 point of essence.|ability to adorn akashic treasures|you can adorn your veils that modify, affect, or empower your unarmed strikes with treasures that can normally only adorn veils that produce melee weapons, manufactured weapons, or any type of weapon (such as adorning the astral pugilism or forcestrike knuckles veil with the voidsphere treasure). you may apply the effects of these treasures to, or utilize the abilities of those treasures with, your unarmed strikes. if one of those treasures has an effect that triggers upon unsheathing or conjuring a weapon, or requires unsheathing or conjuring a weapon as part of its effects, you may unsheathe your unarmed strike for those effects. doing so requires the same actions you normally spend to unsheathe a weapon. you are still always considered to be wielding your unarmed strikes, unsheathing them in this way does not change that. the manner you use to unsheathe your unarmed strikes is determined by you. for example; you could unsheathe your unarmed strikes by taking a fighting stance, striking a pose, or removing your hands from your pockets.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Adorned Strike|Akashic|You have learned to channel the powers of your treasures through the weapons they are adorned to. As a special attack action, you can make a single attack with a weapon produced by the veil adorned with such a treasure and use the standard action ability of the treasure on a successful hit. If the treasures ability requires a melee touch attack, it can only be delivered by a melee weapon attack. If the treasures ability requires a ranged touch attack, it can only be delivered by a ranged weapon attack. The ability is considered to have hit if the weapon attack hits. If the weapon attack is a critical hit, the treasures ability is only considered a critical hit if the initial attack roll was a natural 20 (or a 19 or 20, if you have Improved Critical or a similar ability that doubles the critical threat range of the weapon). If the treasures ability requires a saving throw, the struck creature receives a saving throw against that effect. If the treasures ability normally targets multiple creatures, the struck creature must be included among its targets. If the treasures ability affects an area, the struck creature must be included within its area. The struck creature must be in a legal location within the abilitys normal area (lines and cones still emanate from your space, bursts must be within their maximum range, and so on) otherwise the ability has no effect. If the treasures ability only affects you, such as the teleportation ability of the Keyhole treasure, that ability functions as if you had activated it normally if the attack hits. This ability cannot be combined with other abilities that allow you to apply your supernatural abilities to a weapon attack, such as the conductive weapon special ability. A special attack action represents a unique method of making an aack. They take a standard action to activate, and can be augmented by feats and talents just as if it were any other attack action (such as the Vital Strike feat), but a creature cannot perform more than one special attack action at a time.|ability to adorn akashic treasures|whenever you adorn one of your veils that can produce a weapon (or that can empower your unarmed strikes if you have the adorned fists feat) with a treasure that has a special ability used as a standard action and isnt already delivered with a weapon attack, you can use your weapon to deliver that effect.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Akasha-Imbued Body|Akashic|The akasha within you coats your bones and infuses your muscles, making you more resilient. You gain 1 point of essence.||when you take this feat, you gain 2 hit points for each akashic feat you have. whenever you take a new akashic feat, you gain 2 more hit points. if you are using the death by massive damage rules, you gain a +4 bonus on fortitude saves made to avoid death from massive damage.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Akasha-Infused Spells|Akashic|You gain the ability to invest akasha directly into the spells you cast. You gain 1 point of essence.|con 13 or veilweaver level 1, ability to cast 1st-level spells.|when you take this feat, choose one school of magic. you can invest essence into this feat to increase the caster level of one spell you have known or prepared by 1. prepared casters apply this to all instances of the chosen spell (so if a wizard has prepared fireball twice, both instances gain the ). for each additional point of essence invested in this ability you may choose an additional spell from the selected school to gain this .|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Akashic Animus|Akashic, Combat|To you, the shifting power of animus is but a more chaotic form of essence.|animus pool or equivalent ability (such as a rubato bards tempo class feature or the tap animus feat).|when initiating maneuvers with an augment, you may spend points of animus as if they were essence points and vice versa.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0
Akashic Arms and Armor|Akashic, General|You have learned to utilize your knowledge of akasha to enhance veils|benefit you may enhance veils with the [enhanced] descriptor as per the craft magic arms and armor feat. you treat your veilweaving level as your caster level when using this ability. if you do not meet the for any enhancements you apply (such as lacking the proper spells to enhance your veil with flaming burst), the dc for enhancing your veil increases by 5 for each you do not meet, as normal.||0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0
Akashic Augmentation|Akashic, Psionic|You can augment a psionic power with your chakra energy rather than mental energy. You gain 1 point of essence.|con 13 or veilweaver level 1, ability to manifest 2nd-level psionic powers.|you can invest essence into this feat and choose a particular psionic power that you know. the total power point cost when augmenting that power is reduced by a value equal to the invested essence. this cant reduce the augmentation cost to less than 1. you cant invest more essence in this feat than the chosen powers level, even if the maximum essence capacity of this feat would normally be higher than that value.|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
Akashic Aura|Akashic|You have learned to invest your essence into the auras granted by your faith, further empowering them and improving their radius. You gain 1 point of essence.|any aura granted as a paladin or antipaladin class feature.|you may invest essence in this feat. for each point of essence invested, the radius of your auras granted by paladin or antipaladin class features increase by 5 feet.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
