name|descriptor|acid|air|chaotic|cold|curse|darkness|death|disease|earth|electricity|emotion|evil|fear|fire|force|good|language_dependent|lawful|light|mind_affecting|pain|poison|shadow|sonic|water|meditative|school|subschool|casting_time|components|costly_components|material_costs|verbal|somatic|material|focus|divine_focus|range|area|targets|duration|dismissible|shapeable|saving_throw|spell_resistence|effect|short_description|description|description_formated|source|SLA_Level|spell_level|sorcerer|wizard|cleric|druid|ranger|bard|paladin|alchemist|summoner|witch|inquisitor|oracle|antipaladin|magus|adept|bloodrager|shaman|psychic|medium|mesmerist|occultist|spiritualist|skald|investigator|hunter|domain|bloodline|patron|mythic_text|augmented|mythic
Abadar's Truthtelling|mind-affecting|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|enchantment|compulsion|1 standard action|V, S, DF|0|NULL|1|1|0|0|1|touch||creature touched|1 min./level|0|0|Will negates|yes|||This spell functions identically to the spell zone of truth, except as noted above. The target momentarily takes on the semblance of a being of perfect order, like an archon or inevitable, so that all who can see the target know it is affected by the spell. This divine guise flickers over the target for only an instant and does not allow it to pass as a member of a different race.|<p>This spell functions identically to the spell <i>zone of truth</i>, except as noted above. The target momentarily takes on the semblance of a being of perfect order, like an archon or inevitable, so that all who can see the target know it is affected by the spell. This divine guise flickers over the target for only an instant and does not allow it to pass as a member of a different race.</p>|Inner Sea Gods|1|cleric/oracle 1, inquisitor 1, paladin 1|NULL|NULL|1|NULL|NULL|NULL|1|NULL|NULL|NULL|1|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||||||0
Abeyance||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|abjuration||1 minute|V, S, M (a flask of holy water worth 25 gp), DF|1|25|1|1|1|0|1|touch||creature touched|24 hours|0|0|Will negates (harmless)|yes (harmless)|||Abeyance suppresses the effects of a single curse on a creature. It does not restore any damage or drain that might have been caused by the curse. Abeyance cannot suppress curses that cannot be removed by remove curse, but it can suppress curses such as lycanthropy that require remove curse along with additional measures. An individual curse can be suppressed only once by abeyance, even if cast by a different caster. Abeyance does not allow a creature to divest itself of cursed objects, though it can suppress a curse contracted from an object.|<p><i>Abeyance</i> suppresses the effects of a single curse on a creature. It does not restore any damage or drain that might have been caused by the curse. <i>Abeyance</i> cannot suppress curses that cannot be removed by <i>remove curse</i>, but it can suppress curses such as lycanthropy that require <i>remove curse</i> along with additional measures. An individual curse can be suppressed only once by <i>abeyance</i>, even if cast by a different caster. <i>Abeyance</i> does not allow a creature to divest itself of cursed objects, though it can suppress a curse contracted from an object.</p>|AP 82|2|cleric/oracle 2, inquisitor 2, paladin 2|NULL|NULL|2|NULL|NULL|NULL|2|NULL|NULL|NULL|2|2|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||||||0
Ablative Barrier|force|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|conjuration|creation|1 standard action|V, S, M (a piece of metal cut from a shield)|0|NULL|1|1|1|0|0|touch||creature touched|1 hour/level or until discharged|0|0|Will negates (harmless)|no||Surrounds the target with layers of force.|Invisible layers of solid force surround and protect the target, granting that target a +2 armor bonus to AC. Additionally, the first 5 points of lethal damage the target takes from each attack are converted into nonlethal damage. Against attacks that already deal nonlethal damage, the target gains DR 5/-. Once this spell has converted 5 points of damage to nonlethal damage per caster level (maximum 50 points), the spell is discharged.|<p>Invisible layers of solid force surround and protect the target, granting that target a +2 armor bonus to AC. Additionally, the first 5 points of lethal damage the target takes from each attack are converted into nonlethal damage. Against attacks that already deal nonlethal damage, the target gains DR 5/-. Once this spell has converted 5 points of damage to nonlethal damage per caster level (maximum 50 points), the spell is discharged.</p>|Ultimate Combat|3|alchemist 2, magus 2, sorcerer/wizard 3, summoner 2, bloodrager 2, occultist 2, psychic 3|3|3|NULL|NULL|NULL|NULL|NULL|2|2|NULL|NULL|NULL|NULL|2|NULL|2|NULL|3|NULL|NULL|2|NULL|NULL|NULL|NULL||||Add half your tier to the spell's armor bonus. Add half your tier to the amount of lethal damage from each attack that is converted to nonlethal damage and to the DR against nonlethal damage. Add half your tier to your caster level when determining how much damage the spell converts before it's discharged.||1
Ablative Sphere||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|abjuration||1 standard action|V, S, M (a crystalline sphere worth 10 gp)|1|10|1|1|1|0|0|personal||you|1 minute per level|1|0|||||The Garundi tenaciously protect their homes, and through the years they have perfected magic to aid them in their defense. An immobile, crystalline, weblike globe surrounds you. When the ablative sphere winks into existence, it provides you with improved cover (Pathfinder RPG Core Rulebook 196). The barrier does not impede a spell's line of sight or effect. The sphere is 1 inch thick per caster level, has hardness 5, and 3 hit points per inch of thickness. When an ablative sphere loses hit points, the level of cover it provides is reduced. When the ablative sphere has lost one-third of its hit points, it provides cover instead of improved cover. Once it has lost two-thirds of its hit points, it provides only partial cover. Finally, when the ablative sphere's hit points reach 0, the globe is destroyed. When an attack reduces an ablative sphere's hit points to 0, you take any remaining damage.|<p>The Garundi tenaciously protect their homes, and through the years they have perfected magic to aid them in their defense.</p><p>An immobile, crystalline, weblike globe surrounds you.</p><p>When the <i><i>ablative</i> sphere</i> winks into existence, it provides you with improved cover (<i>Pathfinder RPG Core Rulebook</i> 196). The barrier does not impede a spell's line of sight or effect.</p><p>The sphere is 1 inch thick per caster level, has hardness 5, and 3 hit points per inch of thickness. When an <i><i>ablative</i> sphere</i> loses hit points, the level of cover it provides is reduced. When the <i><i>ablative</i> sphere</i> has lost one-third of its hit points, it provides cover instead of improved cover. Once it has lost two-thirds of its hit points, it provides only partial cover. Finally, when the <i><i>ablative</i> sphere</i>'s hit points reach 0, the globe is destroyed. When an attack reduces an <i><i>ablative</i> sphere</i>'s hit points to 0, you take any remaining damage.</p>|Humans Of Golarion|3|sorcerer/wizard 3|3|3|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||||||0
Aboleth's Lung||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|transmutation||1 standard action|V, S, M/DF (piece of seaweed)|0|NULL|1|1|1|0|1|touch||living creatures touched|1 hour/level; see text|0|0|Will negates|yes|||The targets are able to breathe water, freely. However, they can no longer breathe air. Divide the duration evenly among all the creatures you touch. This spell has no effect on creatures that can already breathe water.|<p>The targets are able to breathe water, freely. However, they can no longer breathe air. Divide the duration evenly among all the creatures you touch. This spell has no effect on creatures that can already breathe water.</p>|Advanced Race Guide|2|cleric/oracle 2, druid 2, sorcerer/wizard 2, witch 2|2|2|2|2|NULL|NULL|NULL|NULL|NULL|2|NULL|2|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|2||||||0
Absolution||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|abjuration||1 round|V, S, M (a vial of holy water), DF|0|NULL|1|1|1|0|1|touch||living creature touched|instantaneous|0|0|none|no||Removes enchantments and forgives actions taken under their effects.|You purge impure thoughts from the target's mind and fill him with exultant relief at the forgiveness of his sins. Absolution ends all charm or compulsion effects affecting the target (including harmless compulsions, such as heroism) as per break enchantment. If the target was forced to perform any actions contrary to his alignment, monk vows, paladin oath, or similar code of conduct by that charm or compulsion effect, that action doesn't cause him to lose access to class abilities, including divine spellcasting. Unlike an atonement spell, absolution can't reverse alignment change or the effects of willing transgressions, induce a creature to change its alignment, or restore class abilities lost because of misdeeds performed in the past. Absolution automatically works if the caster and the target share the same alignment or the same patron deity. If they don't, but their alignments are within one step of each other, absolution has a 5% chance of success per caster level. If neither of these is true, the spell automatically fails. If using the honor subsystem (Pathfinder RPG Ultimate Campaign 160), casting absolution also eliminates the honor loss for events and actions committed by the target while he was affected by a charm or compulsion effect that the spell ended.|<p>You purge impure thoughts from the target's mind and fill him with exultant relief at the forgiveness of his sins. <i>Absolution</i> ends all charm or compulsion effects affecting the target (including harmless compulsions, such as heroism) as per <i>break enchantment</i>. If the target was forced to perform any actions contrary to his alignment, monk vows, paladin oath, or similar code of conduct by that charm or compulsion effect, that action doesn't cause him to lose access to class abilities, including divine spellcasting. Unlike an <i>atonement</i> spell, <i>absolution</i> can't reverse alignment change or the effects of willing transgressions, induce a creature to change its alignment, or restore class abilities lost because of misdeeds performed in the past. <i>Absolution</i> automatically works if the caster and the target share the same alignment or the same patron deity. If they don't, but their alignments are within one step of each other, <i>absolution</i> has a 5% chance of success per caster level. If neither of these is true, the spell automatically fails. If using the honor subsystem (<i>Pathfinder RPG Ultimate Campaign</i> 160), casting <i>absolution</i> also eliminates the honor loss for events and actions committed by the target while he was affected by a charm or compulsion effect that the spell ended.</p>|Ultimate Intrigue|4|cleric/oracle 4, paladin 4|NULL|NULL|4|NULL|NULL|NULL|4|NULL|NULL|NULL|NULL|4|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||||||0
Absorb Rune I||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|abjuration||1 standard action|V, S, M (a white silk glove worth 25 gp)|1|25|1|1|1|0|0|touch||one spell effect|instantaneous plus 1 minute/ level (see text)|0|0|Will negates (harmless)|yes (harmless)|||This spell allows you to lay your hand upon a magical glyph, symbol, or other magical spell effect (referred to in this spell description as a "rune") and attempt to absorb the essence of its effect. To absorb a rune, you must be aware of the rune's existence (but need not know the details of what it actually does) and then succeed at a caster level check (DC = 10 + the caster level of the spell affect being absorbed) as you touch the rune in question. If you fail this caster level check, the magical rune is not triggered unless you fail the roll by 5 or more. If you succeed at the caster level check, the rune is removed from the surface it was originally placed upon and duplicated on the cloth of a silk glove worn on your hand. The rune remains located on the glove's palm in an inert state for up to 1 minute per caster level. As a standard action taken at any time during that duration, you can transfer the rune to another surface similar to the one it was originally placed upon, at which point the rune's function either returns to normal or dissipates harmlessly as if successfully dispelled (your choice). If the spell's duration expires before you place the rune on a new surface, the absorbed rune dissipates harmlessly. Absorb rune I affects only runes whose effects are equivalent to a spell of 3rd level or lower. An attempt to use absorb rune I on a more powerful effect automatically triggers the rune when you touch it.|<p>This spell allows you to lay your hand upon a magical glyph, symbol, or other magical spell effect (referred to in this spell description as a "rune") and attempt to absorb the essence of its effect. To absorb a rune, you must be aware of the rune's existence (but need not know the details of what it actually does) and then succeed at a caster level check (DC = 10 + the caster level of the spell affect being absorbed) as you touch the rune in question. If you fail this caster level check, the magical rune is not triggered unless you fail the roll by 5 or more. If you succeed at the caster level check, the rune is removed from the surface it was originally placed upon and duplicated on the cloth of a silk glove worn on your hand. The rune remains located on the glove's palm in an inert state for up to 1 minute per caster level. As a standard action taken at any time during that duration, you can transfer the rune to another surface similar to the one it was originally placed upon, at which point the rune's function either returns to normal or dissipates harmlessly as if successfully dispelled (your choice). If the spell's duration expires before you place the rune on a new surface, the absorbed rune dissipates harmlessly. <i>Absorb rune I</i> affects only runes whose effects are equivalent to a spell of 3rd level or lower. An attempt to use <i>absorb rune I</i> on a more powerful effect automatically triggers the rune when you touch it.</p>|Adventurer's Guide|4|bard 4, cleric/oracle 4, magus 4, occultist 4, sorcerer/wizard 4|4|4|4|NULL|NULL|4|NULL|NULL|NULL|NULL|NULL|4|NULL|4|NULL|NULL|NULL|NULL|NULL|NULL|4|NULL|NULL|NULL|NULL||||||0
Absorb Rune II||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|abjuration||1 standard action|V, S, M (a white silk glove worth 25 gp)|1|25|1|1|1|0|0|touch||one spell effect|instantaneous plus 1 minute/ level (see text)|0|0|Will negates (harmless)|yes (harmless)|||This spell functions like absorb rune I, but it can affect runes equivalent to a spell of 5th level or lower.|<p>This spell functions like <i>absorb rune I</i>, but it can affect runes equivalent to a spell of 5th level or lower.</p>|Adventurer's Guide|6|bard 6, cleric/oracle 6, magus 6, occultist 6, sorcerer/wizard 6|6|6|6|NULL|NULL|6|NULL|NULL|NULL|NULL|NULL|6|NULL|6|NULL|NULL|NULL|NULL|NULL|NULL|6|NULL|NULL|NULL|NULL||||||0
Absorb Rune III||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|abjuration||1 standard action|V, S, M (a white silk glove worth 25 gp)|1|25|1|1|1|0|0|touch||one spell effect|instantaneous plus 1 minute/ level (see text)|0|0|Will negates (harmless)|yes (harmless)|||This spell functions like absorb rune I, but it can affect runes equivalent to a spell of 8th level or lower.|<p>This spell functions like <i>absorb rune I</i>, but it can affect runes equivalent to a spell of 8th level or lower.</p>|Adventurer's Guide|9|cleric/oracle 9, sorcerer/wizard 9|9|9|9|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|9|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||||||0
Absorb Toxicity||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|necromancy||1 standard action|V, S, M (a thorn from a poisonous plant)|0|NULL|1|1|1|0|0|personal||you|10 minutes/level or until discharged|0|0|see text|no||You become immune to diseases and toxins, absorb one, and then spread it to others.|You absorb the toxicity of your surroundings, becoming toxic as a result. While under the effect of this spell, you are immune to diseases and poisons with which you come into contact. When you are exposed to a disease or poison, you can choose to absorb it. Doing so ends the immunity due to this spell to any disease and poison other than the one you absorbed. You remain immune to the new affliction until this spell ends. Casting absorb toxicity on yourself a second time does not allow you to absorb a second toxin, but instead resets the duration of the effect to its full 10 minutes/level. While you have a disease or poison absorbed, you can use a melee touch attack to transfer that affliction to another creature. A missed attack does not discharge the spell, and you can try to transfer the affliction again in subsequent rounds. If you hit, this spell is discharged, and your target must make a saving throw against the transferred affliction (DC equal to this spell's save DC or the affliction's save DC, whichever is higher) or suffer its effect or initial effect immediately. The target then continues to suffer from the affliction's normal effects. If the spell's duration expires before you have transferred the affliction, you are exposed to any absorbed poison or disease as if you had transferred it to yourself, but you gain a +2 bonus on saves against that particular instance of the poison or disease.|<p>You absorb the toxicity of your surroundings, becoming toxic as a result. While under the effect of this spell, you are immune to diseases and poisons with which you come into contact. When you are exposed to a disease or poison, you can choose to absorb it. Doing so ends the immunity due to this spell to any disease and poison other than the one you absorbed. You remain immune to the new affliction until this spell ends. Casting <i>absorb toxicity</i> on yourself a second time does not allow you to absorb a second toxin, but instead resets the duration of the effect to its full 10 minutes/level. While you have a disease or poison absorbed, you can use a melee touch attack to transfer that affliction to another creature. A missed attack does not discharge the spell, and you can try to transfer the affliction again in subsequent rounds. If you hit, this spell is discharged, and your target must make a saving throw against the transferred affliction (DC equal to this spell's save DC or the affliction's save DC, whichever is higher) or suffer its effect or initial effect immediately. The target then continues to suffer from the affliction's normal effects. If the spell's duration expires before you have transferred the affliction, you are exposed to any absorbed poison or disease as if you had transferred it to yourself, but you gain a +2 bonus on saves against that particular instance of the poison or disease.</p>|Ultimate Combat|4|alchemist 3, druid 4, sorcerer/wizard 5, witch 4, psychic 5|5|5|NULL|4|NULL|NULL|NULL|3|NULL|4|NULL|NULL|NULL|NULL|NULL|NULL|NULL|5|NULL|NULL|NULL|NULL|NULL|NULL|4||||||0
Absorbing Inhalation|air|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|transmutation||1 standard action|V, S|0|NULL|1|1|0|0|0|close (25 ft. + 5 ft./2 levels)||one cloud-like effect, up to one 10-ft. cube/level|1 round/level; see text|0|0|see text|no|||You grant your lungs inhuman strength and capacity, allowing you to harmlessly and completely inhale one gas, fog, smoke, mist, or similar cloud-like effect. If the targeted cloud is a magical effect, you must succeed at a caster level check (DC 11 + the effect's caster level) to inhale it. Inhaling the cloud removes it from the area, leaving normal air in its place. If the cloud is too large for you to affect with a single casting of this spell, you may instead inhale a portion of the cloud, but you must inhale the portion of the cloud closest to you. This spell has no effect on gaseous creatures. It can only affect an instantaneous-duration cloud (such as a breath weapon) if you ready an action to cast the spell in response. While inhaled, the cloud does not harm you. You may keep the cloud harmlessly contained within you for up to 1 round per level, but you must hold your breath to do so (even if you do not normally have to breathe). If the cloud has a duration, the time the cloud is contained within you counts toward that duration. As a standard action, you may release the stored cloud as a breath weapon, filling a 60-foot cone (or the cloud's original area, if smaller than a 60-foot cone). Any creature in the breath's area is subject to its normal effects, making saving throws and spell resistance checks as appropriate against the cloud's original DC. The exhaled cloud resumes its duration, if any. Exhaling the stored cloud ends this spell. If you do not exhale the cloud before this spell's duration expires, you suffer the cloud's effects and automatically fail any saving throw to resist it.|<p>You grant your lungs inhuman strength and capacity, allowing you to harmlessly and completely inhale one gas, fog, smoke, mist, or similar cloud-like effect. If the targeted cloud is a magical effect, you must succeed at a caster level check (DC 11 + the effect's caster level) to inhale it. Inhaling the cloud removes it from the area, leaving normal air in its place. If the cloud is too large for you to affect with a single casting of this spell, you may instead inhale a portion of the cloud, but you must inhale the portion of the cloud closest to you. This spell has no effect on gaseous creatures. It can only affect an instantaneous-duration cloud (such as a breath weapon) if you ready an action to cast the spell in response. While inhaled, the cloud does not harm you. You may keep the cloud harmlessly contained within you for up to 1 round per level, but you must hold your breath to do so (even if you do not normally have to breathe). If the cloud has a duration, the time the cloud is contained within you counts toward that duration. As a standard action, you may release the stored cloud as a breath weapon, filling a 60-foot cone (or the cloud's original area, if smaller than a 60-foot cone). Any creature in the breath's area is subject to its normal effects, making saving throws and spell resistance checks as appropriate against the cloud's original DC. The exhaled cloud resumes its duration, if any. Exhaling the stored cloud ends this spell. If you do not exhale the cloud before this spell's duration expires, you suffer the cloud's effects and automatically fail any saving throw to resist it.</p>|Advanced Race Guide|4|alchemist 4, druid 4, sorcerer/wizard 4, bloodrager 4|4|4|NULL|4|NULL|NULL|NULL|4|NULL|NULL|NULL|NULL|NULL|NULL|NULL|4|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|4||||||0
Absorbing Touch||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|transmutation||1 standard action|S|0|NULL|0|1|0|0|0|touch||object touched|1 day/level|1|0|Fortitude negates (object)|no||Caster absorbs an item for 1 day/level.|You absorb the next object your hand touches into your body. If you are already holding an object, you can attempt to absorb it; otherwise, you may touch an object as a standard action separate from casting the spell. You can absorb any nonmagical, nonliving object weighing no more than 1 pound per caster level. A container and its contents count as a single object. Objects in the possession of another creature receive a Fortitude saving throw to prevent absorption. You may continue to attempt to absorb objects until one is absorbed. An absorbed object melds with your hand and cannot be targeted, but the object's weight still counts against your carrying capacity. If you dismiss the spell, the item appears in the hand that absorbed it, or falls to the ground if that hand is full. Multiple castings let you absorb additional items, but you can only store a single item per hand.|<p>You absorb the next object your hand touches into your body. If you are already holding an object, you can attempt to absorb it; otherwise, you may touch an object as a standard action separate from casting the spell. You can absorb any nonmagical, nonliving object weighing no more than 1 pound per caster level. A container and its contents count as a single object. Objects in the possession of another creature receive a Fortitude saving throw to prevent absorption. You may continue to attempt to absorb objects until one is absorbed.</p><p>An absorbed object melds with your hand and cannot be targeted, but the object's weight still counts against your carrying capacity. If you dismiss the spell, the item appears in the hand that absorbed it, or falls to the ground if that hand is full. Multiple castings let you absorb additional items, but you can only store a single item per hand.</p>|APG|3|alchemist 3|NULL|NULL|NULL|NULL|NULL|NULL|NULL|3|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||||||0
